@RELATION aclImdb-first10

@ATTRIBUTE the NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE pos {P,N}

@DATA
4,3,6,2,3,0,2,1,6,0,P
8,9,2,0,8,5,0,1,9,2,P
18,10,6,8,10,2,9,5,4,0,P
10,8,6,3,4,2,6,4,4,0,P
22,7,9,3,4,2,3,10,3,2,P
17,7,5,2,6,3,6,7,2,1,P
4,3,4,1,4,2,5,3,9,2,P
14,4,7,1,4,3,4,6,2,4,P
6,4,6,4,10,5,2,1,4,5,P
6,4,3,6,6,2,3,2,8,5,P
11,6,4,4,5,2,1,2,3,0,P
12,1,4,1,6,1,6,1,3,0,P
3,2,4,1,3,2,6,1,1,1,P
14,6,0,2,2,0,2,1,4,1,P
4,3,3,1,5,3,5,0,9,3,P
4,5,3,3,4,0,1,2,10,4,P
12,7,10,6,7,6,5,1,6,4,P
3,1,6,1,2,0,3,0,3,2,P
6,5,2,3,3,2,3,2,5,1,P
9,4,7,3,5,1,6,1,4,2,P
18,12,15,19,4,4,1,3,1,4,P
10,5,0,5,3,1,3,4,1,3,P
22,4,9,8,6,0,13,3,10,2,P
0,6,1,1,2,2,2,1,4,2,P
8,7,10,1,4,3,4,3,3,4,P
16,8,6,12,7,4,3,12,8,10,P
12,3,11,4,5,3,1,3,0,0,P
9,2,3,3,2,5,2,1,2,2,P
5,2,5,2,2,3,1,2,1,0,P
5,1,2,1,0,3,1,0,0,1,P
7,0,1,1,0,3,1,1,2,1,P
2,1,2,2,0,1,0,0,0,1,P
11,6,5,5,0,2,0,2,0,1,P
5,3,6,3,2,1,3,1,3,4,P
4,2,0,0,3,1,1,1,3,0,P
5,4,6,11,1,5,0,3,0,1,P
17,5,4,12,4,3,2,5,1,4,P
24,9,10,8,8,11,3,6,0,2,P
30,19,17,11,12,10,4,12,1,3,P
12,2,1,7,2,6,5,3,1,0,P
19,5,9,7,3,12,6,6,2,5,P
20,14,6,8,5,3,0,2,3,3,P
10,5,4,7,7,6,5,3,4,2,P
44,11,13,20,12,11,4,18,5,4,P
39,6,8,19,10,12,9,15,8,4,P
25,7,20,8,13,8,4,9,1,1,P
8,2,0,3,1,4,4,1,0,2,P
7,3,4,1,1,7,2,4,0,3,P
24,6,4,6,6,6,0,11,0,3,P
8,5,6,4,2,5,4,1,5,2,P
21,13,11,13,3,6,0,7,0,3,P
32,16,13,14,15,15,10,7,15,9,P
29,16,20,20,9,11,18,22,2,2,P
28,7,16,13,8,3,4,9,3,2,P
22,11,2,10,5,3,4,5,0,4,P
7,5,1,4,7,2,7,1,3,3,P
10,3,1,2,3,5,0,1,2,5,P
12,4,6,8,1,0,10,1,9,4,P
9,6,5,3,0,1,3,0,3,1,P
16,6,1,4,10,3,9,2,9,2,P
6,6,1,2,3,0,0,1,1,0,P
3,2,2,1,0,1,0,2,0,0,P
7,5,3,4,3,1,1,1,1,2,P
35,15,9,9,11,8,16,5,2,9,P
58,26,18,21,16,13,12,21,20,18,P
1,4,4,0,3,3,2,1,4,4,P
9,3,2,3,8,0,4,1,10,1,P
17,4,10,2,6,6,3,3,0,6,P
6,7,1,3,2,3,2,2,0,2,P
41,14,8,14,11,7,4,11,4,6,P
11,6,9,5,3,5,1,1,1,1,P
11,6,1,2,3,2,2,0,1,1,P
12,10,7,5,9,2,7,3,7,2,P
13,2,13,7,0,12,1,4,0,5,P
25,3,9,11,6,8,2,8,0,0,P
31,26,9,22,12,6,1,8,0,4,P
33,11,8,12,12,16,8,19,0,13,P
30,6,9,19,4,17,4,8,1,5,P
14,4,4,10,3,5,5,5,1,4,P
16,14,15,11,12,10,1,9,2,3,P
1,0,2,0,1,1,2,0,1,0,P
3,0,1,2,2,1,0,0,0,1,P
6,3,3,4,1,0,2,4,3,2,P
5,1,2,2,5,0,0,3,0,1,P
2,1,4,0,2,0,2,1,2,3,P
1,0,1,1,1,1,0,1,0,0,P
5,7,8,2,4,5,2,3,0,1,P
8,6,9,4,4,5,1,2,0,1,P
11,9,7,4,4,5,2,4,0,2,P
20,15,22,6,14,7,3,10,0,3,P
10,10,11,6,8,5,1,1,0,3,P
11,5,7,9,3,7,1,6,1,4,P
5,0,1,3,2,1,2,1,2,3,P
8,2,2,4,3,3,4,4,4,2,P
13,5,11,4,4,2,1,6,0,3,P
3,0,6,1,4,1,0,1,0,3,P
9,5,7,2,4,2,3,2,0,3,P
3,16,4,3,8,7,8,2,4,3,P
5,2,6,3,0,2,1,1,1,0,P
43,14,17,15,14,9,5,10,4,6,P
8,4,6,7,3,2,6,1,2,7,P
13,4,10,4,9,7,2,4,1,3,P
9,5,5,3,4,4,0,2,2,4,P
7,2,2,3,0,1,0,3,1,0,P
11,8,7,4,5,2,1,4,0,2,P
9,6,2,7,4,5,1,3,5,1,P
13,5,5,6,3,3,3,3,0,3,P
8,4,12,7,1,8,1,6,0,2,P
7,3,12,6,3,4,2,5,2,1,P
20,11,8,14,8,12,2,6,1,5,P
21,20,27,10,21,15,6,6,3,3,P
23,16,13,17,13,4,12,17,3,2,P
3,3,1,5,4,2,0,1,5,4,P
35,28,20,16,15,8,7,14,0,4,P
2,0,4,3,0,1,0,1,0,0,P
13,9,8,6,4,6,4,11,0,1,P
7,4,3,4,3,4,2,1,1,3,P
38,21,18,20,14,8,7,16,2,6,P
10,6,8,2,4,2,4,4,0,0,P
6,5,4,3,2,1,2,1,3,3,P
10,11,11,5,3,4,1,6,1,2,P
5,5,7,1,1,1,1,3,0,1,P
12,3,12,7,6,3,10,6,11,13,P
26,19,6,1,10,8,0,2,0,0,P
8,6,1,3,1,5,5,4,6,3,P
18,13,6,9,14,9,3,10,9,14,P
2,4,4,3,0,1,3,1,5,5,P
7,9,7,2,2,3,7,1,2,1,P
14,2,3,4,2,3,0,0,0,2,P
12,6,4,3,1,4,1,4,0,1,P
3,4,6,1,1,2,2,4,1,3,P
7,0,1,4,2,2,1,3,0,1,P
32,13,15,18,5,7,7,14,0,7,P
10,15,9,10,7,5,6,9,2,1,P
5,6,5,6,6,4,6,3,4,4,P
7,1,2,2,2,4,2,1,0,1,P
7,3,3,2,1,1,0,1,1,1,P
12,11,12,5,5,6,1,2,1,6,P
22,14,12,12,7,6,3,3,2,1,P
15,6,3,8,2,5,2,5,0,3,P
39,20,19,14,14,10,3,23,2,2,P
7,1,1,1,4,2,2,2,4,4,P
15,12,7,5,4,6,3,5,5,4,P
6,6,3,4,0,1,0,2,0,1,P
27,8,6,8,7,2,11,2,4,1,P
47,43,26,23,12,10,9,22,8,6,P
2,1,2,2,1,0,3,1,2,0,P
3,2,4,3,1,3,1,2,1,2,P
14,6,11,11,6,6,2,5,1,7,P
7,2,3,4,4,4,3,2,1,2,P
15,7,2,5,3,2,2,3,2,2,P
2,4,2,1,1,1,2,0,0,1,P
12,7,6,6,4,1,1,0,0,0,P
6,2,3,3,5,4,3,2,3,2,P
4,1,5,0,2,2,3,5,7,4,P
0,1,2,0,0,0,1,2,0,1,P
12,4,5,4,6,8,5,3,4,3,P
2,1,2,1,2,1,0,2,1,2,P
15,9,9,7,5,7,4,10,5,11,P
9,3,6,0,3,6,4,0,8,4,P
7,9,4,0,4,3,1,1,0,1,P
11,3,3,8,2,0,1,0,1,1,P
1,5,1,1,2,1,5,5,5,3,P
7,4,0,3,2,7,0,1,0,0,P
1,3,2,1,2,2,3,3,3,1,P
18,5,0,6,5,7,6,0,6,2,P
7,8,6,4,5,6,7,0,8,6,P
2,5,3,0,1,6,3,1,4,6,P
12,5,5,7,5,3,1,1,3,3,P
3,4,3,0,4,2,3,0,5,2,P
6,0,3,3,0,1,2,3,1,2,P
19,9,3,8,1,6,4,13,0,1,P
15,5,5,8,5,1,3,1,2,2,P
56,15,24,30,16,13,8,16,3,7,P
27,12,13,12,6,8,3,6,10,6,P
23,12,11,13,13,10,14,6,7,7,P
24,16,18,16,13,9,17,4,12,8,P
23,15,12,13,17,1,7,16,0,0,P
25,13,13,8,7,8,5,10,5,2,P
1,3,5,2,1,2,3,1,1,1,P
10,1,8,3,0,3,2,2,4,4,P
2,0,4,2,3,0,0,3,3,1,P
44,21,31,21,12,8,22,9,19,9,P
12,6,2,4,1,3,1,5,3,1,P
19,9,6,3,5,3,3,5,7,2,P
27,6,14,14,11,5,5,5,8,1,P
13,0,5,3,2,1,3,6,5,3,P
12,4,5,3,3,4,1,3,0,1,P
8,4,4,0,2,1,3,4,4,2,P
3,3,4,4,3,0,4,5,1,2,P
5,4,2,3,4,6,3,0,4,4,P
4,4,1,2,2,1,3,1,5,2,P
15,5,3,5,7,2,1,1,6,2,P
5,5,6,2,7,1,4,0,6,0,P
11,7,3,5,6,5,5,5,6,1,P
5,8,7,2,4,2,1,4,0,2,P
11,3,3,2,6,3,2,2,0,0,P
18,13,11,8,13,9,2,11,4,7,P
9,4,2,3,5,6,2,4,2,3,P
9,6,2,3,5,1,3,0,1,2,P
27,11,7,10,10,11,5,5,1,2,P
2,4,3,0,2,2,1,0,2,3,P
10,6,5,5,2,1,1,3,2,2,P
30,7,18,6,7,4,7,5,13,4,P
7,8,3,3,0,1,9,1,3,1,P
9,3,0,1,8,1,2,0,3,2,P
8,1,4,4,5,1,4,2,7,1,P
7,3,4,2,4,2,2,0,5,3,P
2,6,3,0,5,3,3,1,5,2,P
9,4,1,6,5,1,1,1,3,4,P
8,8,2,3,2,1,2,1,1,2,P
9,3,4,2,1,6,3,1,0,0,P
8,0,4,4,4,2,8,4,1,2,P
9,3,1,2,3,2,2,1,2,1,P
13,11,10,7,2,3,0,4,0,2,P
6,2,6,6,2,3,0,2,0,1,P
21,12,7,11,3,7,4,1,0,4,P
5,3,0,1,0,1,3,0,3,1,P
5,3,1,2,0,1,2,2,0,4,P
8,3,3,3,2,2,1,2,0,1,P
19,8,8,12,9,10,7,8,1,3,P
12,7,3,2,0,9,2,2,0,0,P
4,3,0,0,5,2,0,4,0,1,P
12,6,6,3,4,4,7,2,4,5,P
10,9,7,6,4,3,5,0,11,3,P
9,5,2,2,2,2,1,7,1,0,P
1,6,3,1,1,1,4,1,3,0,P
11,5,5,8,4,5,10,2,1,2,P
13,14,10,8,8,2,5,4,10,10,P
2,1,0,2,0,0,5,0,5,2,P
55,21,10,12,13,11,7,18,6,3,P
29,16,5,14,14,2,4,12,17,1,P
31,12,10,8,12,5,1,9,2,1,P
3,4,5,3,4,1,7,3,4,2,P
14,2,1,0,10,2,5,3,5,2,P
8,3,0,2,2,1,7,1,6,1,P
18,5,6,13,5,4,4,1,1,0,P
9,1,6,5,3,5,5,3,4,0,P
6,4,6,1,3,2,2,3,1,1,P
2,1,2,1,0,2,0,2,0,0,P
36,29,42,15,19,17,18,28,6,4,P
23,8,22,8,7,15,11,11,8,7,P
5,3,0,2,2,5,5,0,4,4,P
3,6,1,5,2,2,1,3,0,3,P
13,5,7,10,6,4,8,3,10,5,P
6,2,5,2,0,2,2,0,2,1,P
11,10,7,9,3,9,2,4,3,6,P
25,10,4,7,4,6,3,5,6,4,P
12,8,3,2,3,4,4,2,5,5,P
14,8,2,7,4,3,1,4,1,2,P
5,7,3,3,0,1,5,2,5,3,P
10,2,2,3,2,6,3,1,1,5,P
8,2,2,4,3,2,1,1,2,1,P
12,3,3,7,1,3,4,5,1,1,P
15,1,4,6,2,5,1,2,1,1,P
7,5,6,4,5,2,5,3,8,5,P
40,20,16,12,7,15,17,15,6,4,P
20,12,15,9,14,6,0,12,0,7,P
6,5,1,4,2,1,0,1,2,2,P
10,5,5,10,2,1,2,2,1,3,P
1,0,0,0,2,1,4,0,4,2,P
5,3,0,1,1,0,4,1,3,2,P
2,1,1,1,0,1,5,1,2,1,P
19,13,14,9,10,6,6,3,10,2,P
7,6,0,2,1,0,5,1,1,0,P
17,3,1,5,3,0,2,2,0,1,P
2,5,3,4,3,3,5,2,3,3,P
9,1,2,3,3,4,2,4,4,3,P
14,6,7,3,2,7,1,3,1,4,P
12,6,6,5,2,2,9,3,6,4,P
7,9,6,2,5,0,11,2,6,1,P
7,3,1,2,2,2,7,2,3,2,P
10,5,2,5,3,6,2,4,4,5,P
32,9,10,11,7,20,0,5,2,2,P
46,14,22,17,14,16,23,11,12,2,P
6,4,3,1,2,2,3,0,1,1,P
6,2,4,4,4,2,3,1,2,0,P
7,7,8,5,2,5,1,1,0,2,P
11,11,1,4,3,1,1,3,0,0,P
9,4,0,2,6,1,4,1,12,1,P
14,5,4,8,8,3,5,5,5,1,P
8,2,3,7,3,3,6,3,3,3,P
11,5,11,8,4,10,1,2,2,1,P
3,6,2,3,0,3,6,3,3,3,P
17,8,6,11,10,9,2,4,3,6,P
2,2,1,0,0,1,4,1,2,2,P
5,3,1,0,2,3,2,0,1,2,P
5,3,2,1,1,4,5,0,2,0,P
4,1,3,5,1,2,2,1,0,2,P
4,5,2,3,2,0,2,0,3,0,P
5,4,3,4,0,1,3,1,2,3,P
8,6,4,6,5,3,4,3,5,6,P
19,4,10,13,6,4,4,2,1,3,P
4,0,2,4,2,3,10,1,6,1,P
4,3,1,1,0,4,0,2,2,3,P
3,3,1,1,3,1,5,1,5,2,P
8,3,4,5,3,8,6,1,4,5,P
16,10,13,7,9,6,3,6,0,3,P
13,8,7,1,1,5,5,3,3,0,P
7,7,9,6,5,3,2,1,0,2,P
8,2,2,4,0,2,5,5,1,3,P
7,2,3,3,2,2,5,1,3,2,P
6,3,4,2,0,3,2,1,1,2,P
15,10,3,5,3,4,3,3,0,4,P
14,7,3,5,3,0,0,3,0,0,P
25,14,13,15,6,16,8,10,0,6,P
14,11,3,5,8,5,5,5,4,7,P
13,5,4,3,3,7,2,2,3,6,P
8,6,6,12,3,6,3,2,3,5,P
10,7,6,3,3,3,14,9,7,3,P
11,9,8,3,2,10,10,5,5,3,P
11,5,3,6,9,12,8,8,5,9,P
9,4,6,9,3,0,6,2,6,2,P
2,1,0,2,2,0,1,0,0,2,P
12,4,7,10,5,3,1,4,1,4,P
7,2,2,2,1,4,1,0,0,2,P
42,21,11,22,11,7,7,11,13,7,P
10,2,10,6,7,7,7,1,2,7,P
3,2,2,0,1,0,0,2,3,1,P
4,2,2,5,1,4,1,2,2,7,P
14,4,1,10,3,4,4,2,0,0,P
4,3,3,2,0,0,3,0,2,0,P
12,7,3,3,5,3,1,7,3,2,P
15,10,11,9,4,7,4,4,9,7,P
5,2,1,1,5,2,0,1,0,1,P
3,3,1,2,2,3,0,2,3,3,P
2,2,0,0,2,3,2,1,2,1,P
4,4,6,4,4,1,6,2,6,4,P
2,0,0,0,2,3,0,1,5,5,P
9,4,4,13,8,7,1,1,1,3,P
20,9,5,13,4,1,1,5,3,1,P
14,11,5,8,6,9,9,2,13,13,P
2,0,4,1,1,1,1,1,1,1,P
11,5,4,5,3,6,1,0,0,3,P
3,2,3,5,1,1,0,4,0,0,P
8,1,2,5,1,2,0,1,0,2,P
16,6,8,6,7,5,2,1,1,1,P
6,11,1,0,2,3,1,2,2,4,P
10,6,3,3,2,4,3,2,1,4,P
22,4,10,8,10,10,9,8,0,5,P
38,16,10,13,15,5,3,9,0,3,P
36,7,12,15,11,11,10,6,0,3,P
15,9,10,10,4,8,6,6,0,3,P
9,6,2,5,1,5,6,0,3,3,P
6,4,5,2,2,2,2,3,2,1,P
13,6,3,4,5,2,3,2,4,0,P
38,20,25,21,17,16,10,13,5,6,P
9,2,1,2,1,0,0,1,0,0,P
1,2,3,2,0,0,0,2,0,1,P
3,3,1,1,0,3,3,3,1,0,P
5,3,1,0,0,0,1,0,1,1,P
18,3,3,6,1,4,5,4,4,1,P
2,3,0,0,0,2,4,0,3,2,P
2,4,3,1,6,2,5,2,3,2,P
10,3,6,6,5,2,7,2,2,3,P
27,13,14,10,18,8,9,9,11,9,P
5,4,1,1,3,1,6,4,9,3,P
5,2,5,3,6,3,2,3,2,4,P
2,7,7,4,3,4,0,2,1,2,P
7,5,3,2,1,4,2,4,0,1,P
8,6,3,2,1,4,2,3,1,1,P
18,9,5,2,1,10,14,4,3,3,P
8,3,5,2,2,5,1,2,2,2,P
10,6,5,4,3,2,4,4,6,1,P
16,9,7,13,2,4,8,9,0,4,P
6,4,2,2,2,1,5,2,3,2,P
6,0,3,5,2,0,1,1,2,2,P
10,2,5,5,4,6,3,0,0,2,P
7,6,2,2,4,2,2,3,3,2,P
9,4,2,2,1,2,1,1,0,0,P
12,3,6,3,1,0,2,4,0,0,P
9,7,6,9,4,1,0,5,0,2,P
9,21,3,8,9,7,7,4,10,3,P
6,5,3,3,1,3,2,0,4,1,P
9,3,6,3,4,3,0,6,0,1,P
3,2,2,1,1,0,2,2,0,3,P
6,1,2,2,5,1,0,2,1,2,P
5,6,3,4,2,3,3,4,5,2,P
10,11,3,4,3,4,2,1,4,2,P
11,7,4,5,1,4,2,1,4,2,P
16,7,7,11,8,4,1,1,0,1,P
2,2,1,2,2,0,7,0,3,2,P
12,7,2,5,0,2,0,4,0,0,P
14,4,6,6,6,2,1,4,1,0,P
5,6,2,5,2,1,0,5,1,2,P
1,2,2,2,1,2,0,0,2,1,P
5,5,2,0,2,3,2,2,3,2,P
11,3,2,7,5,9,0,2,1,2,P
24,7,10,6,9,10,0,5,0,0,P
4,1,1,1,1,0,0,2,1,0,P
1,0,4,1,1,1,1,1,1,1,P
9,2,9,4,1,10,2,4,0,6,P
3,0,0,1,0,3,2,1,1,2,P
1,1,0,2,0,0,0,0,1,2,P
7,3,2,2,0,0,1,3,2,0,P
6,3,5,4,2,2,2,4,0,0,P
15,8,8,6,6,6,5,3,2,3,P
15,2,15,10,3,6,1,11,5,4,P
9,1,1,1,4,4,1,4,0,0,P
19,10,9,11,6,10,2,5,5,3,P
14,9,10,7,9,8,4,2,8,7,P
7,3,4,3,0,5,1,2,2,2,P
12,4,5,4,1,3,2,3,0,3,P
7,4,8,3,6,1,5,1,2,2,P
20,7,9,8,3,11,2,3,0,2,P
14,5,8,6,1,2,1,2,2,2,P
11,6,6,7,1,6,1,3,0,2,P
18,14,20,7,17,9,4,5,0,1,P
6,7,1,1,4,2,3,1,4,1,P
18,11,8,12,4,3,4,2,4,0,P
50,29,30,32,33,18,14,21,1,5,P
9,2,5,4,3,1,6,0,0,1,P
12,5,6,1,6,0,0,1,5,2,P
10,3,4,5,4,2,4,0,4,1,P
8,5,8,5,4,7,1,1,0,1,P
23,3,11,14,8,5,2,7,5,0,P
2,3,1,1,1,4,1,0,1,0,P
4,1,3,2,1,2,0,0,1,2,P
15,7,9,8,8,4,7,4,3,3,P
21,0,3,8,5,1,3,1,2,0,P
2,0,2,5,0,2,1,1,5,1,P
6,3,4,2,0,2,4,0,5,3,P
12,4,3,7,4,4,2,4,0,3,P
12,5,6,7,4,0,0,3,3,1,P
26,10,5,7,13,3,2,6,3,1,P
11,2,4,2,5,3,1,2,3,1,P
12,10,8,6,7,0,2,3,3,2,P
74,39,26,30,24,21,10,15,1,2,P
31,8,7,12,10,10,0,15,5,5,P
11,6,1,6,2,5,1,3,1,1,P
11,2,1,1,0,2,0,4,3,2,P
9,8,2,2,2,3,4,1,7,1,P
9,6,5,9,5,8,3,3,1,0,P
12,6,4,4,4,0,3,4,0,3,P
3,1,1,2,1,3,3,2,0,1,P
11,0,6,5,1,2,8,4,5,2,P
6,5,2,4,1,2,3,0,2,1,P
9,5,3,3,2,3,0,4,0,0,P
13,8,8,2,5,10,2,9,0,3,P
7,5,0,1,3,2,3,4,4,5,P
19,9,7,4,6,8,3,3,2,2,P
18,6,7,2,11,8,6,4,1,3,P
2,5,2,0,5,2,1,0,2,1,P
16,4,2,6,0,9,3,3,2,4,P
8,4,3,5,2,2,6,1,6,6,P
9,4,1,5,4,0,5,1,2,1,P
13,7,4,3,3,8,2,7,0,2,P
50,32,16,23,13,10,12,12,1,4,P
31,15,16,17,10,6,8,14,3,3,P
14,5,8,4,9,8,2,3,0,2,P
29,11,9,15,8,10,3,9,0,6,P
10,6,7,10,7,2,3,2,9,6,P
16,6,2,7,1,7,0,2,0,2,P
39,13,13,21,5,16,11,13,2,5,P
38,14,15,14,16,7,13,9,5,4,P
18,11,11,11,5,11,1,2,2,4,P
5,4,2,6,1,3,2,1,0,3,P
9,9,5,3,7,4,10,1,3,0,P
5,2,3,5,3,2,3,0,1,0,P
7,7,7,0,3,2,4,0,4,1,P
6,2,5,3,4,4,5,2,3,3,P
18,4,8,6,2,4,10,2,7,5,P
8,5,0,2,6,0,3,1,7,3,P
3,4,2,2,0,1,0,1,4,1,P
13,5,2,3,2,4,1,2,3,1,P
8,2,5,2,3,5,5,5,1,5,P
3,3,3,2,1,1,5,4,4,0,P
11,2,3,4,3,3,2,2,7,6,P
7,6,2,4,1,6,5,3,1,3,P
11,7,4,1,5,5,3,3,0,0,P
23,11,12,10,9,11,3,6,2,2,P
28,19,13,15,17,8,1,10,0,5,P
57,37,13,27,17,14,15,18,9,8,P
5,1,5,1,3,0,0,2,0,0,P
6,3,6,4,7,2,6,3,0,1,P
4,5,7,3,2,1,5,9,4,3,P
6,6,2,3,4,0,1,1,0,2,P
26,6,5,6,4,11,2,8,3,2,P
5,5,1,3,1,5,2,0,0,4,P
7,7,8,7,0,3,1,2,1,1,P
13,5,0,5,2,4,3,1,1,2,P
32,27,26,19,30,21,4,19,2,2,P
41,20,27,21,23,12,2,22,2,4,P
26,7,7,12,10,4,4,4,0,1,P
2,3,2,1,3,0,0,1,0,0,P
31,22,17,10,16,26,5,4,0,4,P
16,10,8,11,6,1,2,7,0,0,P
19,7,5,9,3,5,1,5,0,3,P
16,4,10,6,10,4,0,6,0,2,P
22,17,9,10,1,5,3,2,1,1,P
8,2,8,0,3,5,3,1,2,2,P
14,6,3,5,7,2,2,5,4,3,P
10,4,5,3,6,2,1,4,0,0,P
4,8,9,1,2,5,6,0,1,1,P
7,2,1,3,2,0,0,2,0,1,P
6,2,0,3,2,0,1,0,0,2,P
15,9,3,2,3,1,6,0,3,3,P
4,8,1,3,1,3,6,2,4,3,P
22,12,12,16,6,9,7,8,5,8,P
29,18,4,11,6,1,7,5,5,3,P
13,3,4,6,3,9,6,3,2,5,P
6,5,3,2,3,4,4,2,0,0,P
9,9,12,4,16,2,12,1,4,3,P
15,10,8,3,5,11,4,5,0,3,P
2,3,2,1,0,0,1,1,0,0,P
11,2,1,5,1,4,2,3,1,4,P
24,17,12,13,14,8,6,8,10,5,P
33,15,6,15,14,6,3,7,1,3,P
21,17,10,10,9,8,4,5,1,2,P
48,28,17,17,24,12,10,6,0,2,P
44,17,11,15,22,11,6,8,11,3,P
58,23,22,28,17,8,8,16,2,12,P
9,3,3,2,0,0,2,2,8,2,P
13,2,7,1,4,0,7,0,0,2,P
13,3,4,2,6,2,0,3,0,1,P
37,7,17,16,10,7,3,10,3,3,P
22,2,8,7,4,9,1,11,0,3,P
65,18,16,32,28,8,11,32,3,2,P
6,3,4,0,3,1,3,8,15,1,P
6,5,6,3,4,2,5,4,2,4,P
5,6,3,1,2,2,5,1,2,0,P
4,3,6,3,1,2,7,2,5,1,P
12,3,6,4,6,3,1,5,11,7,P
14,3,5,9,2,7,3,5,2,3,P
13,4,0,11,6,0,0,2,0,1,P
36,47,24,35,15,15,7,13,1,2,P
7,8,2,5,1,2,1,3,2,2,P
7,5,3,4,1,3,6,3,3,2,P
9,5,7,2,4,5,0,4,3,4,P
15,16,11,5,12,5,2,4,2,1,P
19,10,2,7,7,6,5,4,6,4,P
4,2,2,4,2,2,4,1,9,4,P
22,9,3,4,8,3,4,5,2,3,P
19,10,6,5,2,7,4,3,4,8,P
48,30,24,14,29,21,10,10,1,1,P
7,5,3,3,2,2,1,0,2,5,P
